Date,Division,CPI Division,Monthly Change (%)
2025-03-27,RESTAURANTS AND HOTELS,101.928,0.0
2025-04-24,RESTAURANTS AND HOTELS,102.007,0.0775
2025-04-24,CLOTHING AND FOOTWEAR,90.5863,-0.8869
2025-04-24,RECREATION AND CULTURE,105.5438,-0.3925
2025-04-24,TRANSPORT,99.6757,-0.0484
2025-04-24,COMMUNICATION,105.3683,0.1102
2025-04-24,"FURNISHING, HOUSEHOLD EQUIPMENT AND SUPPLIES ",100.0395,-1.4433
2025-04-24,EDUCATION,100.484,0.0
2025-04-24,ALCOHOLIC BEVERAGES AND TOBACCO,104.8535,2.3839
2025-04-24,"HOUSING, WATER, ELECTRICITY, GAS AND OTHER FUELS",99.6958,-0.0771
2025-04-24,FOOD AND NON-ALCOHOLIC BEVERAGES,104.0275,-0.0996
2025-04-24,MISCELLANEOUS GOODS AND SERVICES,99.3474,0.078
2025-04-24,HEALTH,102.4043,1.5106
2025-05-29,EDUCATION,100.484,0.0
2025-05-29,CLOTHING AND FOOTWEAR,89.5537,-1.1399
2025-05-29,TRANSPORT,98.9379,-0.7402
2025-05-29,FOOD AND NON-ALCOHOLIC BEVERAGES,103.696,-0.3187
2025-05-29,ALCOHOLIC BEVERAGES AND TOBACCO,104.673,-0.1721
2025-05-29,RECREATION AND CULTURE,105.5503,0.0062
2025-05-29,"FURNISHING, HOUSEHOLD EQUIPMENT AND SUPPLIES ",100.3012,0.2616
2025-05-29,"HOUSING, WATER, ELECTRICITY, GAS AND OTHER FUELS",99.6308,-0.0652
2025-05-29,COMMUNICATION,105.3683,0.0
2025-05-29,MISCELLANEOUS GOODS AND SERVICES,99.2226,-0.1256
2025-05-29,HEALTH,102.4043,0.0
2025-05-29,RESTAURANTS AND HOTELS,102.3291,0.3158
2025-06-26,HEALTH,102.4043,0.0
2025-06-26,"HOUSING, WATER, ELECTRICITY, GAS AND OTHER FUELS",99.6417,0.0109
2025-06-26,ALCOHOLIC BEVERAGES AND TOBACCO,105.5705,0.8574
2025-06-26,EDUCATION,101.6033,1.1139
2025-06-26,"FURNISHING, HOUSEHOLD EQUIPMENT AND SUPPLIES ",100.2686,-0.0325
2025-06-26,FOOD AND NON-ALCOHOLIC BEVERAGES,99.7214,-3.8329
2025-06-26,MISCELLANEOUS GOODS AND SERVICES,99.2226,0.0
2025-06-26,TRANSPORT,99.0779,0.1415
2025-06-26,RESTAURANTS AND HOTELS,110.0019,7.4982
2025-06-26,RECREATION AND CULTURE,106.3133,0.7229
2025-06-26,CLOTHING AND FOOTWEAR,88.8794,-0.753
2025-06-26,COMMUNICATION,105.3683,0.0
2025-07-31,RECREATION AND CULTURE,107.4704,1.0884
2025-07-31,MISCELLANEOUS GOODS AND SERVICES,99.3474,0.1258
2025-07-31,"HOUSING, WATER, ELECTRICITY, GAS AND OTHER FUELS",99.6932,0.0517
2025-07-31,HEALTH,101.8493,-0.542
2025-07-31,"FURNISHING, HOUSEHOLD EQUIPMENT AND SUPPLIES ",100.2859,0.0173
2025-07-31,FOOD AND NON-ALCOHOLIC BEVERAGES,100.2457,0.5258
2025-07-31,EDUCATION,101.6033,0.0
2025-07-31,COMMUNICATION,105.3683,0.0
2025-07-31,TRANSPORT,99.079,0.0011
2025-07-31,ALCOHOLIC BEVERAGES AND TOBACCO,105.1734,-0.3761
2025-07-31,RESTAURANTS AND HOTELS,110.0847,0.0753
2025-07-31,CLOTHING AND FOOTWEAR,84.4056,-5.0336
2025-08-28,COMMUNICATION,103.365,-1.9012
2025-08-28,EDUCATION,101.6033,0.0
2025-08-28,FOOD AND NON-ALCOHOLIC BEVERAGES,101.5208,1.272
2025-08-28,"FURNISHING, HOUSEHOLD EQUIPMENT AND SUPPLIES ",104.9708,4.6715
2025-08-28,HEALTH,102.9876,1.1176
2025-08-28,"HOUSING, WATER, ELECTRICITY, GAS AND OTHER FUELS",107.523,7.8539
2025-08-28,MISCELLANEOUS GOODS AND SERVICES,98.2099,-1.145
2025-08-28,RECREATION AND CULTURE,106.8891,-0.5409
2025-08-28,RESTAURANTS AND HOTELS,110.1952,0.1004
2025-08-28,TRANSPORT,99.016,-0.0636
2025-08-28,ALCOHOLIC BEVERAGES AND TOBACCO,105.273,0.0947
2025-08-28,CLOTHING AND FOOTWEAR,84.9405,0.6337
